id,Date,Close,Volume,Open,High,Low
7,2021-06-28,$222.94 ,6190647,$223 ,$225.09 ,$215.60 
7,2021-06-25,$219.94 ,13315620,$221.26 ,$226.51 ,$216.33 
7,2021-06-24,$220.14 ,8171884,$214.38 ,$221.49 ,$213.46 
7,2021-06-23,$212.04 ,14558440,$219.98 ,$224.57 ,$205.55 
7,2021-06-22,$221.36 ,10066340,$210.76 ,$222.40 ,$210.25 
7,2021-06-21,$208.24 ,7423063,$200.86 ,$211.04 ,$200 
7,2021-06-18,$199.19 ,6663813,$201.39 ,$204.84 ,$194.51 
7,2021-06-17,$202.47 ,4955160,$200 ,$203.92 ,$197.72 
7,2021-06-16,$197.84 ,7264747,$200 ,$203.98 ,$193.20 
7,2021-06-15,$201.59 ,6786260,$203.49 ,$207.85 ,$199.20 
7,2021-06-14,$207.41 ,11743700,$213.27 ,$213.49 ,$198 
7,2021-06-11,$218.85 ,5576026,$211.90 ,$218.90 ,$211.80 
7,2021-06-10,$217 ,11763150,$216.62 ,$221.88 ,$207.70 
7,2021-06-09,$217.44 ,8016465,$212.30 ,$221.50 ,$212.01 
7,2021-06-08,$213 ,11857630,$220.10 ,$222.34 ,$202.50 
7,2021-06-07,$219.57 ,19034360,$207.10 ,$227.71 ,$206.42 
7,2021-06-04,$206.07 ,11103270,$197.90 ,$207.38 ,$197.33 
7,2021-06-03,$195.22 ,9270151,$188.89 ,$200 ,$188.63 
7,2021-06-02,$191.60 ,10142520,$183.90 ,$194.50 ,$183.28 
7,2021-06-01,$184.66 ,6010881,$184.08 ,$185.28 ,$178.80 
7,2021-05-28,$185.01 ,8567185,$178.62 ,$186.64 ,$178.36 
7,2021-05-27,$179.54 ,10844890,$174.20 ,$180 ,$173.63 
7,2021-05-26,$175.59 ,6885242,$168.70 ,$175.62 ,$168.51 
7,2021-05-25,$169.26 ,7759917,$166.56 ,$171.74 ,$165.10 
7,2021-05-24,$164.17 ,4501276,$162.88 ,$166.80 ,$161.01 
7,2021-05-21,$161.45 ,5169131,$168.93 ,$169.28 ,$161.35 
7,2021-05-20,$165.97 ,4826341,$159.92 ,$166.81 ,$158.89 
7,2021-05-19,$157.99 ,3943745,$155.74 ,$160.07 ,$154.51 
7,2021-05-18,$159.53 ,4811395,$160.16 ,$165.75 ,$157.90 
7,2021-05-17,$160.43 ,4219188,$159 ,$163.37 ,$156.72 
7,2021-05-14,$161.38 ,6512867,$150.85 ,$162.46 ,$150.40 
7,2021-05-13,$149.87 ,5765024,$152.60 ,$155.62 ,$146.85 
7,2021-05-12,$152.68 ,5720784,$154.11 ,$158.91 ,$151.15 
7,2021-05-11,$158.99 ,8087399,$151.31 ,$161.99 ,$150.06 
7,2021-05-10,$158.55 ,8809685,$164.01 ,$164.76 ,$155.71 
7,2021-05-07,$163.15 ,11952610,$165.78 ,$169.02 ,$160.82 
7,2021-05-06,$160.50 ,29662340,$148 ,$163.47 ,$143.56 
7,2021-05-05,$162.84 ,18914250,$178.10 ,$180.70 ,$156.81 
7,2021-05-04,$173.59 ,16924200,$185.34 ,$188.49 ,$171.63 
7,2021-05-03,$186.02 ,14631040,$183.90 ,$189 ,$182.21 
7,2021-04-30,$178.82 ,9495237,$175.59 ,$184 ,$174.52 
7,2021-04-29,$175.67 ,8362706,$183.33 ,$186.80 ,$174.76 
7,2021-04-28,$178.68 ,8375405,$182.37 ,$182.89 ,$176.12 
7,2021-04-27,$183.41 ,12925680,$178.36 ,$185.53 ,$178.18 
7,2021-04-26,$177.61 ,12201730,$171.79 ,$179.60 ,$168.88 
7,2021-04-23,$173.63 ,8855331,$170.31 ,$175.51 ,$168.35 
7,2021-04-22,$168.10 ,15922380,$168.26 ,$179 ,$164.62 
7,2021-04-21,$169.50 ,11352740,$158.60 ,$170.11 ,$157.69 
7,2021-04-20,$156.78 ,7154386,$160.32 ,$162.73 ,$153.27 
7,2021-04-19,$161.91 ,10006650,$166.61 ,$168.20 ,$159.60 
7,2021-04-16,$170.81 ,19044900,$158.68 ,$171.92 ,$158.21 
7,2021-04-15,$159.87 ,10340440,$159 ,$163.58 ,$155.23 
7,2021-04-14,$160.03 ,15389840,$153.66 ,$160.92 ,$152.49 
7,2021-04-13,$149.71 ,13729030,$146.80 ,$152.11 ,$145.35 
7,2021-04-12,$139.40 ,6060181,$142.37 ,$143.49 ,$136.36 
7,2021-04-09,$140.92 ,9918176,$133.51 ,$144 ,$133.34 
7,2021-04-08,$133.88 ,4530017,$132.85 ,$135.90 ,$132.06 
7,2021-04-07,$131.47 ,4380038,$132.37 ,$135.16 ,$130.21 
7,2021-04-06,$133.53 ,7438195,$130.11 ,$138.25 ,$128.16 
7,2021-04-05,$129.91 ,5218269,$132.60 ,$133.19 ,$127.04 
7,2021-04-01,$132.55 ,7269665,$132.20 ,$136.64 ,$130.34 
7,2021-03-31,$130.95 ,10015690,$121.10 ,$131.80 ,$119.33 
7,2021-03-30,$118.49 ,11061640,$123.15 ,$123.60 ,$117.34 
7,2021-03-29,$123.42 ,10814820,$130.11 ,$131.30 ,$121.90 
7,2021-03-26,$133.28 ,4047117,$133.38 ,$135.60 ,$128.02 
7,2021-03-25,$133.33 ,5696322,$127.33 ,$134.31 ,$126.42 
7,2021-03-24,$131.61 ,5864615,$137.25 ,$137.74 ,$131.01 
7,2021-03-23,$136.52 ,6961240,$145.61 ,$146.19 ,$136.38 
7,2021-03-22,$145.60 ,6050730,$144.19 ,$147.92 ,$141.85 
7,2021-03-19,$143.74 ,6933748,$143.06 ,$145.18 ,$138.53 
7,2021-03-18,$141.46 ,7144867,$144.45 ,$147.61 ,$140.86 
7,2021-03-17,$147.55 ,12894890,$150.25 ,$152.08 ,$143.25 
7,2021-03-16,$156.02 ,16991620,$148.50 ,$157.75 ,$145.84 
7,2021-03-15,$143.66 ,7361627,$136.77 ,$143.85 ,$135.01 
7,2021-03-12,$136.99 ,4923074,$134.04 ,$138.74 ,$133.20 
7,2021-03-11,$140.47 ,8140123,$132.98 ,$140.85 ,$131.48 
7,2021-03-10,$129.75 ,5555909,$133.62 ,$135.72 ,$128.79 
7,2021-03-09,$130.87 ,7834221,$127.11 ,$132.30 ,$125.60 
7,2021-03-08,$123.47 ,6839340,$129.15 ,$133.55 ,$122.48 
7,2021-03-05,$132.19 ,12039640,$133.07 ,$134.27 ,$121.12 
7,2021-03-04,$132.30 ,10929540,$128.70 ,$135.47 ,$126.69 
7,2021-03-03,$131.22 ,13683460,$146.09 ,$147.32 ,$131 
7,2021-03-02,$146.81 ,8630604,$153.50 ,$154.47 ,$146.44 
7,2021-03-01,$157.40 ,15351560,$154.46 ,$157.78 ,$145.25 
7,2021-02-26,$154.81 ,13445240,$157.98 ,$159.60 ,$150.88 
7,2021-02-25,$148.38 ,15172130,$150.78 ,$160.98 ,$145.86 
7,2021-02-24,$144.79 ,9757204,$150.41 ,$151 ,$143.47 
7,2021-02-23,$150.17 ,15509170,$151.25 ,$153 ,$136 
7,2021-02-22,$159.37 ,11152700,$167.80 ,$170.35 ,$158.58 
7,2021-02-19,$174.74 ,6413592,$173.54 ,$179.30 ,$170.53 
7,2021-02-18,$169.57 ,5124102,$171.59 ,$175.47 ,$168 
7,2021-02-17,$176.76 ,6554586,$174.28 ,$178.01 ,$171.62 
7,2021-02-16,$178.53 ,6917541,$182.41 ,$184.18 ,$173.51 
7,2021-02-12,$183.74 ,5705535,$184.89 ,$185 ,$177.58 
7,2021-02-11,$183.44 ,5464092,$178.29 ,$184.22 ,$176.20 
7,2021-02-10,$179.34 ,7067541,$182.74 ,$185.22 ,$176.37 
7,2021-02-09,$179.52 ,8403123,$186.21 ,$187 ,$177.27 
7,2021-02-08,$185.98 ,12940160,$177 ,$189.26 ,$176.81 
7,2021-02-05,$176.24 ,8990045,$170.99 ,$177.50 ,$170.26 
7,2021-02-04,$173.31 ,10618280,$166.42 ,$173.73 ,$164.25 
7,2021-02-03,$165.86 ,11355920,$156.60 ,$168.39 ,$156.40 
7,2021-02-02,$158.58 ,14923860,$158.52 ,$159.05 ,$147.10 
7,2021-02-01,$157.48 ,22056530,$173.03 ,$174.50 ,$154.30 
7,2021-01-29,$173.16 ,39687300,$174.99 ,$185.98 ,$166.20 
7,2021-01-28,$159.55 ,16497370,$154.11 ,$168 ,$153.62 
7,2021-01-27,$155.73 ,20262920,$151.20 ,$164.55 ,$149 
7,2021-01-26,$151.93 ,16964730,$145.15 ,$154.55 ,$145 
7,2021-01-25,$147 ,26970870,$138.40 ,$147.43 ,$137.25 
7,2021-01-22,$131.02 ,10067190,$132.50 ,$135.87 ,$128.90 
7,2021-01-21,$132.98 ,20880840,$125.28 ,$137 ,$125.25 
7,2021-01-20,$125.14 ,8001568,$124.51 ,$126.01 ,$122.25 
7,2021-01-19,$125.01 ,16528900,$122.10 ,$126.36 ,$120.50 
7,2021-01-15,$129.65 ,15769540,$129.60 ,$133.29 ,$126.58 
7,2021-01-14,$129.72 ,13346730,$122.80 ,$130.98 ,$122.80 
7,2021-01-13,$124.06 ,14324640,$123.70 ,$127.58 ,$120.74 
7,2021-01-12,$124.55 ,15300720,$117.93 ,$124.91 ,$117.12 
7,2021-01-11,$117.26 ,16650650,$112.75 ,$121.24 ,$112.62 
7,2021-01-08,$112.75 ,12376940,$116.52 ,$117.71 ,$111.49 
7,2021-01-07,$115.09 ,20614070,$120.10 ,$122.82 ,$112.13 
7,2021-01-06,$116.26 ,21590930,$111.11 ,$116.93 ,$110.28 
7,2021-01-05,$109.18 ,15450800,$113.82 ,$114.98 ,$107.20 
7,2021-01-04,$111.73 ,22439550,$107.23 ,$113.63 ,$103.26 
7,2020-12-31,$104.47 ,23369870,$110.55 ,$113.55 ,$102.66 
7,2020-12-30,$111.13 ,23965540,$118.40 ,$118.94 ,$108.80 
7,2020-12-29,$114.39 ,23718800,$107.80 ,$116.25 ,$106.88 
7,2020-12-28,$111.40 ,31088170,$120.04 ,$122.88 ,$111.05 
7,2020-12-24,$123.39 ,12720590,$125.94 ,$129.70 ,$122.72 
7,2020-12-23,$130.34 ,41905040,$120.05 ,$132 ,$115 
7,2020-12-22,$125.88 ,36126940,$139 ,$141.40 ,$123 
7,2020-12-21,$138.30 ,23921050,$140.84 ,$147.26 ,$137.79 
7,2020-12-18,$140.23 ,33157830,$141.51 ,$145 ,$135.06 
7,2020-12-17,$144 ,32404460,$137.92 ,$146.97 ,$137.30 
7,2020-12-16,$137.03 ,28476280,$137.75 ,$141.33 ,$134.31 
7,2020-12-15,$147.22 ,36451260,$157 ,$157.28 ,$142.46 
7,2020-12-14,$155.07 ,22467740,$163.40 ,$163.76 ,$152.56 
7,2020-12-11,$156.93 ,22069860,$159.70 ,$163.75 ,$155.89 
7,2020-12-10,$155.69 ,22059970,$151.13 ,$159.50 ,$148.01 
7,2020-12-09,$156.59 ,40951700,$170.20 ,$170.80 ,$147.20 
7,2020-12-08,$169.86 ,27738720,$165.75 ,$170.51 ,$164.30 
7,2020-12-07,$159.52 ,31409840,$155.03 ,$163.98 ,$152.97 
7,2020-12-04,$152.52 ,27704830,$157.59 ,$157.82 ,$148.51 
7,2020-12-03,$157.26 ,38656510,$143.50 ,$159.11 ,$143.01 
7,2020-12-02,$143 ,51217330,$138.63 ,$149.80 ,$128.10 
7,2020-12-01,$141.01 ,125552300,$177.66 ,$178.50 ,$130.33 
7,2020-11-30,$152.74 ,73203060,$144 ,$153.87 ,$141.05 
7,2020-11-27,$127.03 ,43438500,$115.12 ,$130.06 ,$114.86 
7,2020-11-25,$109.18 ,25850690,$99.03 ,$109.29 ,$98.65 
7,2020-11-24,$98.56 ,12515340,$98.40 ,$99.89 ,$93.54 
7,2020-11-23,$101.03 ,16359620,$100.77 ,$101.77 ,$98.62 
7,2020-11-20,$97.61 ,15306300,$95 ,$98.43 ,$94.82 
7,2020-11-19,$92.77 ,16002020,$90 ,$94.65 ,$89.51 
7,2020-11-18,$88.89 ,21823450,$93.87 ,$94 ,$88.61 
7,2020-11-17,$93.15 ,26171960,$97.23 ,$97.80 ,$91.60 
7,2020-11-16,$97.95 ,70853060,$100.31 ,$103.20 ,$93.30 
7,2020-11-13,$89.39 ,14176720,$86.62 ,$90.53 ,$85.22 
7,2020-11-12,$87.81 ,21750390,$85.18 ,$87.93 ,$83.83 
7,2020-11-11,$82.44 ,18576500,$77.05 ,$83.98 ,$76.13 
7,2020-11-10,$76.05 ,10499400,$80 ,$80.38 ,$73.52 
7,2020-11-09,$77.74 ,20266810,$77.75 ,$80.25 ,$75.42 
7,2020-11-06,$72.45 ,5841047,$71.42 ,$74.16 ,$70.87 
7,2020-11-05,$71.48 ,4449850,$71.09 ,$71.59 ,$70.16 
7,2020-11-04,$69.81 ,5442067,$68.97 ,$71.55 ,$68.92 
7,2020-11-03,$69.08 ,4366928,$66.75 ,$69.25 ,$66.59 
7,2020-11-02,$67.11 ,4650268,$68.02 ,$68.60 ,$66.55 
7,2020-10-30,$67.47 ,7085797,$70.80 ,$71.49 ,$66.85 
7,2020-10-29,$71.28 ,13776430,$68.35 ,$74.54 ,$66.23 
7,2020-10-28,$65.74 ,6043991,$68.95 ,$69.47 ,$65.49 
7,2020-10-27,$70.67 ,3812879,$70.45 ,$71.35 ,$68.81 
7,2020-10-26,$70.24 ,3872799,$70.36 ,$71.32 ,$68.70 
7,2020-10-23,$70.53 ,3735087,$72.30 ,$72.40 ,$68.80 
7,2020-10-22,$70.84 ,5212065,$68.50 ,$72.53 ,$68.40 
7,2020-10-21,$68.37 ,4614813,$71.57 ,$71.58 ,$68.06 
7,2020-10-20,$71.31 ,5441299,$72.07 ,$73.10 ,$70.65 
7,2020-10-19,$70.96 ,6931283,$73.97 ,$74.09 ,$70.50 
7,2020-10-16,$73.94 ,4693584,$76.06 ,$76.93 ,$73.67 
7,2020-10-15,$75.58 ,5014595,$75.48 ,$76.49 ,$73.71 
7,2020-10-14,$76.56 ,6643833,$80.01 ,$80.01 ,$76.33 
7,2020-10-13,$78.29 ,13669190,$75.93 ,$81.37 ,$75.52 
7,2020-10-12,$75.31 ,7590764,$73.61 ,$75.85 ,$72.92 
7,2020-10-09,$73 ,4774015,$73.42 ,$73.67 ,$72.39 
7,2020-10-08,$72.93 ,4023816,$73.50 ,$73.76 ,$72.01 
7,2020-10-07,$72.37 ,4190611,$71.23 ,$73.24 ,$70.96 
7,2020-10-06,$71.04 ,7285512,$72 ,$73.92 ,$70.31 
7,2020-10-05,$71.95 ,6518121,$69.64 ,$72.02 ,$69.05 
7,2020-10-02,$68.81 ,8004919,$67.90 ,$72.77 ,$67.25 
7,2020-10-01,$70.03 ,6838969,$69.57 ,$70.20 ,$68.16 
7,2020-09-30,$70.75 ,15690710,$72.51 ,$75.39 ,$70.16 
7,2020-09-29,$70.52 ,6294318,$70.46 ,$71.34 ,$69.59 
7,2020-09-28,$70.55 ,7337397,$69.59 ,$71.50 ,$69.10 
7,2020-09-25,$69.47 ,9190629,$65.89 ,$69.73 ,$65.67 
7,2020-09-24,$65.17 ,5565191,$65.50 ,$66.77 ,$63.64 
7,2020-09-23,$67.16 ,6919352,$67.87 ,$68.62 ,$65.77 
7,2020-09-22,$68.72 ,6303612,$67.50 ,$69.19 ,$66.67 
7,2020-09-21,$69.26 ,8223034,$68.60 ,$69.48 ,$65.46 
7,2020-09-18,$69.87 ,13206190,$68.28 ,$70 ,$66.10 
7,2020-09-17,$67.89 ,13275200,$68.50 ,$70.90 ,$64.60 
7,2020-09-16,$68.84 ,11398010,$67.64 ,$70.04 ,$66.73 
7,2020-09-15,$66.88 ,9101184,$65.03 ,$68.41 ,$64.23 
7,2020-09-14,$63.67 ,8930779,$60.15 ,$63.85 ,$60.12 
7,2020-09-11,$59.34 ,4821869,$58.49 ,$59.51 ,$57.45 
7,2020-09-10,$57.56 ,7985321,$57.04 ,$60.32 ,$56.87 
7,2020-09-09,$56.90 ,9355441,$56.03 ,$57.19 ,$54.51 
7,2020-09-08,$54.34 ,17706210,$57.75 ,$58.60 ,$54.21 
7,2020-09-04,$62.60 ,11653290,$64.99 ,$65 ,$59.01 
7,2020-09-03,$64.84 ,14307320,$65.65 ,$69.35 ,$64.30 
7,2020-09-02,$64.72 ,9874614,$62.84 ,$64.89 ,$61.38 
7,2020-09-01,$63.32 ,8200671,$63.54 ,$64.50 ,$62.50 
7,2020-08-31,$64.89 ,15271800,$67.14 ,$67.20 ,$62.54 
7,2020-08-28,$67.49 ,6383705,$68.04 ,$68.95 ,$67.15 
7,2020-08-27,$68.03 ,9262562,$69.98 ,$70.32 ,$67.01 
7,2020-08-26,$70.50 ,28768080,$67.62 ,$71.64 ,$66.03 
7,2020-08-25,$66.25 ,7798501,$64.32 ,$66.70 ,$63.55 
7,2020-08-24,$64.88 ,13143240,$67.15 ,$67.85 ,$62.88 
7,2020-08-21,$66.45 ,6935608,$67.50 ,$68.02 ,$65.60 
7,2020-08-20,$67.81 ,6346700,$67.79 ,$68 ,$66.63 
7,2020-08-19,$68 ,8558809,$66.74 ,$69.17 ,$66.60 
7,2020-08-18,$67.03 ,11329150,$68.28 ,$69.70 ,$65.23 
7,2020-08-17,$69.76 ,8749112,$69.14 ,$70.78 ,$68.38 
7,2020-08-14,$69.15 ,12799580,$68.06 ,$70.36 ,$67.86 
7,2020-08-13,$67.83 ,15055930,$69.09 ,$69.18 ,$67.05 
7,2020-08-12,$69.52 ,50471490,$75.67 ,$75.75 ,$68.30 
7,2020-08-11,$68.97 ,18118730,$69.52 ,$71.40 ,$67 
7,2020-08-10,$72.01 ,8678274,$74.27 ,$75 ,$71.41 
7,2020-08-07,$74.10 ,8771437,$74.38 ,$75.39 ,$73.01 
7,2020-08-06,$73.76 ,11691500,$75.79 ,$76.25 ,$73.12 
7,2020-08-05,$75.80 ,19859900,$77.49 ,$77.49 ,$73.69 
7,2020-08-04,$78.46 ,10126500,$78.19 ,$78.62 ,$75.50 
7,2020-08-03,$77.98 ,13382330,$74.98 ,$77.99 ,$73.03 
7,2020-07-31,$74.10 ,14223410,$78.20 ,$78.44 ,$73.60 
7,2020-07-30,$77.63 ,13101990,$78 ,$79.25 ,$76.80 
7,2020-07-29,$79.51 ,24453920,$81.98 ,$82.82 ,$76.55 
7,2020-07-28,$81.49 ,32946890,$81 ,$83.85 ,$79.50 
7,2020-07-27,$79.91 ,44710710,$80.63 ,$80.98 ,$76.16 
7,2020-07-24,$73.21 ,27797480,$69.05 ,$73.90 ,$66.54 
7,2020-07-23,$75.33 ,29288090,$82.05 ,$82.68 ,$72.20 
7,2020-07-22,$83.23 ,27274020,$79.61 ,$84.12 ,$79.11 
7,2020-07-21,$80.86 ,26185580,$80.91 ,$82.43 ,$79.07 
7,2020-07-20,$82.68 ,78391300,$87.86 ,$90.85 ,$78.05 
7,2020-07-17,$94.85 ,103509200,$83.35 ,$95.21 ,$82.61 
7,2020-07-16,$81.81 ,27277410,$80.16 ,$84.29 ,$79.60 
7,2020-07-15,$80.22 ,90756070,$87.52 ,$88.37 ,$78.01 
7,2020-07-14,$75.04 ,38708760,$74 ,$76.95 ,$70.62 
7,2020-07-13,$71.78 ,56617290,$63.89 ,$77.75 ,$63.80 
7,2020-07-10,$62.61 ,7407545,$64.65 ,$64.93 ,$62.32 
7,2020-07-09,$64.97 ,20646140,$62.09 ,$65.35 ,$58.88 
7,2020-07-08,$61.58 ,7590861,$60.79 ,$62.46 ,$59.45 
7,2020-07-07,$61.09 ,8904341,$58.80 ,$61.50 ,$57.44 
7,2020-07-06,$59.15 ,9977316,$58.55 ,$60.73 ,$57.10 
7,2020-07-02,$58.57 ,26544380,$60 ,$61.80 ,$55.81 
7,2020-07-01,$61.59 ,17916470,$63 ,$63.73 ,$59.12 
7,2020-06-30,$64.21 ,11955170,$62.18 ,$65.16 ,$61.80 
7,2020-06-29,$62.08 ,8074205,$61.82 ,$63 ,$59.40 